time,crd,vel,ekin,ene_0,ene_1,epot,etotal,coff_0,coff_1,prob,random,state
121.000,-3.24550032,0.01449999,0.21024974,-2.00002472,2.00002472,-2.00002472,-1.78977498,1.00000000,0.00000000,0.00000000,0.13464416,0
122.000,-3.23100033,0.01449999,0.21024973,-2.00002471,2.00002471,-2.00002471,-1.78977498,1.00000000,0.00000000,0.00000000,0.47542959,0
123.000,-3.21650034,0.01449999,0.21024973,-2.00002470,2.00002470,-2.00002470,-1.78977498,1.00000000,0.00000000,0.00000000,0.55255696,0
124.000,-3.20200035,0.01449999,0.21024972,-2.00002470,2.00002470,-2.00002470,-1.78977498,1.00000000,0.00000000,0.00000000,0.54905329,0
125.000,-3.18750036,0.01449999,0.21024971,-2.00002469,2.00002469,-2.00002469,-1.78977498,1.00000000,0.00000000,0.00000000,0.13457434,0
126.000,-3.17300037,0.01449999,0.21024971,-2.00002468,2.00002468,-2.00002468,-1.78977498,1.00000000,0.00000000,0.00000000,0.53025841,0
127.000,-3.15850038,0.01449999,0.21024970,-2.00002467,2.00002467,-2.00002467,-1.78977498,1.00000000,0.00000000,0.00000000,0.01371481,0
128.000,-3.14400039,0.01449999,0.21024969,-2.00002467,2.00002467,-2.00002467,-1.78977498,1.00000000,0.00000000,0.00000000,0.10779687,0
129.000,-3.12950040,0.01449999,0.21024968,-2.00002466,2.00002466,-2.00002466,-1.78977498,1.00000000,0.00000000,0.00000000,0.63136966,0
130.000,-3.11500041,0.01449999,0.21024968,-2.00002465,2.00002465,-2.00002465,-1.78977498,1.00000000,0.00000000,0.00000000,0.84496103,0
131.000,-3.10050042,0.01449999,0.21024967,-2.00002464,2.00002464,-2.00002464,-1.78977497,1.00000000,0.00000000,0.00000000,0.58300235,0
132.000,-3.08600043,0.01449999,0.21024966,-2.00002463,2.00002463,-2.00002463,-1.78977497,1.00000000,0.00000000,0.00000000,0.37517287,0
133.000,-3.07150044,0.01449999,0.21024965,-2.00002463,2.00002463,-2.00002463,-1.78977497,1.00000000,0.00000000,0.00000000,0.32714902,0
134.000,-3.05700045,0.01449999,0.21024964,-2.00002462,2.00002462,-2.00002462,-1.78977497,1.00000000,0.00000000,0.00000000,0.96223730,0
135.000,-3.04250047,0.01449999,0.21024963,-2.00002461,2.00002461,-2.00002461,-1.78977497,1.00000000,0.00000000,0.00000000,0.18667341,0
136.000,-3.02800048,0.01449999,0.21024962,-2.00002460,2.00002460,-2.00002460,-1.78977497,1.00000000,0.00000000,0.00000000,0.10382082,0
137.000,-3.01350049,0.01449999,0.21024962,-2.00002459,2.00002459,-2.00002459,-1.78977497,1.00000000,0.00000000,0.00000000,0.65993481,0
138.000,-2.99900051,0.01449999,0.21024961,-2.00002458,2.00002458,-2.00002458,-1.78977497,1.00000000,0.00000000,0.00000000,0.35281310,0
139.000,-2.98450052,0.01449999,0.21024960,-2.00002457,2.00002457,-2.00002457,-1.78977497,1.00000000,0.00000000,0.00000000,0.58484868,0
140.000,-2.97000053,0.01449999,0.21024959,-2.00002456,2.00002456,-2.00002456,-1.78977497,1.00000000,0.00000000,0.00000000,0.01916809,0
141.000,-2.95550055,0.01449999,0.21024958,-2.00002455,2.00002455,-2.00002455,-1.78977497,1.00000000,0.00000000,0.00000000,0.95042960,0
142.000,-2.94100056,0.01449999,0.21024957,-2.00002454,2.00002454,-2.00002454,-1.78977497,1.00000000,0.00000000,0.00000000,0.25164365,0
143.000,-2.92650058,0.01449998,0.21024956,-2.00002453,2.00002453,-2.00002453,-1.78977497,1.00000000,0.00000000,0.00000000,0.11130514,0
144.000,-2.91200059,0.01449998,0.21024955,-2.00002452,2.00002452,-2.00002452,-1.78977497,1.00000000,0.00000000,0.00000000,0.41449253,0
145.000,-2.89750061,0.01449998,0.21024953,-2.00002451,2.00002451,-2.00002451,-1.78977497,1.00000000,0.00000000,0.00000000,0.41540087,0
146.000,-2.88300063,0.01449998,0.21024952,-2.00002449,2.00002449,-2.00002449,-1.78977497,1.00000000,0.00000000,0.00000000,0.31988976,0
147.000,-2.86850064,0.01449998,0.21024951,-2.00002448,2.00002448,-2.00002448,-1.78977497,1.00000000,0.00000000,0.00000000,0.92988370,0
148.000,-2.85400066,0.01449998,0.21024950,-2.00002447,2.00002447,-2.00002447,-1.78977497,1.00000000,0.00000000,0.00000000,0.75064933,0
149.000,-2.83950068,0.01449998,0.21024949,-2.00002446,2.00002446,-2.00002446,-1.78977497,1.00000000,0.00000000,0.00000000,0.18996234,0
